pair,point_index,x,y,k,h_i(k),h_j(k),numerator,denominator,0.5*numerator/denominator
most_different,67,255,80,5,0.00000000,0.00740741,0.00005487,0.00740741,0.00370370
most_different,67,255,80,6,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,7,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,8,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,9,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,10,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,11,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,13,0.00632911,0.00000000,0.00004006,0.00632911,0.00316456
most_different,67,255,80,14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,15,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,16,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,17,0.00000000,0.02962963,0.00087791,0.02962963,0.01481481
most_different,67,255,80,18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,19,0.00632911,0.00740741,0.00000116,0.01373652,0.00004232
most_different,67,255,80,20,0.01265823,0.00000000,0.00016023,0.01265823,0.00632911
most_different,67,255,80,21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,22,0.00632911,0.00000000,0.00004006,0.00632911,0.00316456
most_different,67,255,80,23,0.01898734,0.00000000,0.00036052,0.01898734,0.00949367
most_different,67,255,80,24,0.01898734,0.00000000,0.00036052,0.01898734,0.00949367
most_different,67,255,80,25,0.01898734,0.00000000,0.00036052,0.01898734,0.00949367
most_different,67,255,80,26,0.02531646,0.00000000,0.00064092,0.02531646,0.01265823
most_different,67,255,80,27,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,28,0.00000000,0.00740741,0.00005487,0.00740741,0.00370370
most_different,67,255,80,29,0.00000000,0.05185185,0.00268861,0.05185185,0.02592593
most_different,67,255,80,30,0.00000000,0.03703704,0.00137174,0.03703704,0.01851852
most_different,67,255,80,31,0.00000000,0.03703704,0.00137174,0.03703704,0.01851852
most_different,67,255,80,32,0.00632911,0.00740741,0.00000116,0.01373652,0.00004232
most_different,67,255,80,33,0.02531646,0.00000000,0.00064092,0.02531646,0.01265823
most_different,67,255,80,34,0.04430380,0.00000000,0.00196283,0.04430380,0.02215190
most_different,67,255,80,35,0.03164557,0.00000000,0.00100144,0.03164557,0.01582278
most_different,67,255,80,36,0.03164557,0.00000000,0.00100144,0.03164557,0.01582278
most_different,67,255,80,37,0.07594937,0.00000000,0.00576831,0.07594937,0.03797468
most_different,67,255,80,38,0.00632911,0.00000000,0.00004006,0.00632911,0.00316456
most_different,67,255,80,39,0.03797468,0.00000000,0.00144208,0.03797468,0.01898734
most_different,67,255,80,40,0.00000000,0.02222222,0.00049383,0.02222222,0.01111111
most_different,67,255,80,41,0.00000000,0.04444444,0.00197531,0.04444444,0.02222222
most_different,67,255,80,42,0.00000000,0.16296296,0.02655693,0.16296296,0.08148148
most_different,67,255,80,43,0.00000000,0.09629630,0.00927298,0.09629630,0.04814815
most_different,67,255,80,44,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,45,0.03797468,0.00000000,0.00144208,0.03797468,0.01898734
most_different,67,255,80,46,0.03797468,0.00000000,0.00144208,0.03797468,0.01898734
most_different,67,255,80,47,0.03164557,0.00000000,0.00100144,0.03164557,0.01582278
most_different,67,255,80,48,0.15822785,0.00000000,0.02503605,0.15822785,0.07911392
most_different,67,255,80,49,0.13924051,0.00000000,0.01938792,0.13924051,0.06962025
most_different,67,255,80,50,0.00632911,0.00000000,0.00004006,0.00632911,0.00316456
most_different,67,255,80,51,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,52,0.00000000,0.00740741,0.00005487,0.00740741,0.00370370
most_different,67,255,80,53,0.01265823,0.00740741,0.00002757,0.02006564,0.00068702
most_different,67,255,80,54,0.00000000,0.23703704,0.05618656,0.23703704,0.11851852
most_different,67,255,80,55,0.00000000,0.22222222,0.04938272,0.22222222,0.11111111
most_different,67,255,80,56,0.00000000,0.01481481,0.00021948,0.01481481,0.00740741
most_different,67,255,80,57,0.01265823,0.00000000,0.00016023,0.01265823,0.00632911
most_different,67,255,80,58,0.01265823,0.00000000,0.00016023,0.01265823,0.00632911
most_different,67,255,80,59,0.00632911,0.00000000,0.00004006,0.00632911,0.00316456
most_different,67,255,80,60,0.17088608,0.00000000,0.02920205,0.17088608,0.08544304
